s_id |     device_id     |    value    |           u_time           
------+-------------------+-------------+----------------------------
    1 | 64:bc:58:cd:07:90  | 8.199999809 | 2023-09-08 17:14:19.516952
    2 | 64:bc:58:cd:07:90  | 1.299999952 | 2023-09-08 17:14:19.906311
    4 | 64:bc:58:cd:07:90  | 7.599999905 | 2023-09-08 17:14:19.919956
    3 | 64:bc:58:cd:07:90  | 5.199999809 | 2023-09-08 17:14:19.925034
    1 | 64:bc:58:cd:07:90  | 3.700000048 | 2023-09-08 17:14:25.179933
    2 | 64:bc:58:cd:07:90  | 0.600000024 | 2023-09-08 17:14:25.646674
    4 | 64:bc:58:cd:07:90  |           6 | 2023-09-08 17:14:25.646829
    3 | 64:bc:58:cd:07:90  | 3.299999952 | 2023-09-08 17:14:25.653114
    1 | 64:bc:58:cd:07:90  | 6.400000095 | 2023-09-08 17:14:30.025137
    2 | 64:bc:58:cd:07:90  | 2.799999952 | 2023-09-08 17:14:30.554057
    4 | 64:bc:58:cd:07:90  | 12.69999981 | 2023-09-08 17:14:30.554245
    3 | 64:bc:58:cd:07:90  |         8.5 | 2023-09-08 17:14:30.554409
    1 | 64:bc:58:cd:07:90  | 8.300000191 | 2023-09-08 17:14:35.441415
    2 | 64:bc:58:cd:07:90  | 2.200000048 | 2023-09-08 17:14:35.758174
    4 | 64:bc:58:cd:07:90  | 3.200000048 | 2023-09-08 17:14:35.758251
    3 | 64:bc:58:cd:07:90  |           0 | 2023-09-08 17:14:35.7584
    1 | 64:bc:58:cd:07:90  | 2.900000095 | 2023-09-08 17:14:40.103578
    2 | 64:bc:58:cd:07:90  | 3.099999905 | 2023-09-08 17:14:40.371801
    4 | 64:bc:58:cd:07:90  | 4.300000191 | 2023-09-08 17:14:40.371921
    3 | 64:bc:58:cd:07:90  |           7 | 2023-09-08 17:14:40.374143
    1 | 64:bc:58:cd:07:90  | 0.699999988 | 2023-09-08 17:14:48.242546
    2 | 64:bc:58:cd:07:90  | 5.400000095 | 2023-09-08 17:14:48.777414
    4 | 64:bc:58:cd:07:90  | 3.099999905 | 2023-09-08 17:14:48.777485
    3 | 64:bc:58:cd:07:90  | 3.400000095 | 2023-09-08 17:14:48.77758
    1 | 64:bc:58:cd:07:90  | 1.600000024 | 2023-09-08 17:14:53.287178
    2 | 64:bc:58:cd:07:90  | 0.800000012 | 2023-09-08 17:14:53.767278
    4 | 64:bc:58:cd:07:90  | 12.60000038 | 2023-09-08 17:14:53.767393
    3 | 64:bc:58:cd:07:90  | 4.099999905 | 2023-09-08 17:14:53.767573
    1 | 64:bc:58:cd:07:90  |         6.5 | 2023-09-08 17:14:58.154013
    2 | 64:bc:58:cd:07:90  | 0.899999976 | 2023-09-08 17:14:58.480439
    4 | 64:bc:58:cd:07:90  | 4.300000191 | 2023-09-08 17:14:58.48052
    3 | 64:bc:58:cd:07:90  |           8 | 2023-09-08 17:14:58.480631
    1 | 64:bc:58:cd:07:90  | 4.099999905 | 2023-09-08 17:15:03.369767
    2 | 64:bc:58:cd:07:90  | 0.699999988 | 2023-09-08 17:15:04.007818
    4 | 64:bc:58:cd:07:90  | 6.800000191 | 2023-09-08 17:15:04.007887
    3 | 64:bc:58:cd:07:90  | 0.699999988 | 2023-09-08 17:15:04.007933
    1 | 64:bc:58:cd:07:90  | 3.299999952 | 2023-09-08 17:15:11.120302
    2 | 64:bc:58:cd:07:90  | 1.899999976 | 2023-09-08 17:15:11.356137
    4 | 64:bc:58:cd:07:90  | 6.900000095 | 2023-09-08 17:15:11.356226
    3 | 64:bc:58:cd:07:90  | 9.699999809 | 2023-09-08 17:15:11.356301
    1 | 64:bc:58:cd:07:90  | 9.600000381 | 2023-09-08 17:15:16.090498
    2 | 64:bc:58:cd:07:90  | 9.199999809 | 2023-09-08 17:15:16.403856
    4 | 64:bc:58:cd:07:90  |           8 | 2023-09-08 17:15:16.403947
    3 | 64:bc:58:cd:07:90  | 8.199999809 | 2023-09-08 17:15:16.404032
    1 | 64:bc:58:cd:07:90  | 9.600000381 | 2023-09-08 17:15:21.09444
    2 | 64:bc:58:cd:07:90  | 2.900000095 | 2023-09-08 17:15:21.34818
    4 | 64:bc:58:cd:07:90  | 10.30000019 | 2023-09-08 17:15:21.348259
    3 | 64:bc:58:cd:07:90  |           0 | 2023-09-08 17:15:21.348391
    1 | 64:bc:58:cd:07:90  | 7.900000095 | 2023-09-08 17:15:25.978773
    2 | 64:bc:58:cd:07:90  | 7.099999905 | 2023-09-08 17:15:26.4145
    4 | 64:bc:58:cd:07:90  |           4 | 2023-09-08 17:15:26.414621
    3 | 64:bc:58:cd:07:90  | 1.100000024 | 2023-09-08 17:15:26.414692
    1 | 64:bc:58:cd:07:90  | 2.799999952 | 2023-09-08 17:15:34.529149
    2 | 64:bc:58:cd:07:90  | 2.299999952 | 2023-09-08 17:15:35.023797
    4 | 64:bc:58:cd:07:90  |         3.5 | 2023-09-08 17:15:35.023895
    3 | 64:bc:58:cd:07:90  |           2 | 2023-09-08 17:15:35.023994
    1 | 64:bc:58:cd:07:90  | 4.300000191 | 2023-09-08 17:15:39.32898
